id,tenant_id,sequence_number,start_cbu_sequence_number,end_cbu_sequence_number,status,cycle_id,clock_id,calendar_id,attributes,created_at,modified_at,start_time,next_period_start_time,_load_ts_ms,cdc_source_ts_ms,live_processing_state,phase_transition_history,cdc_op
510079781086342288,140793,206,206,206,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-27 10:44:58.456221+00:00,2020-07-23 18:30:00+00:00,2020-07-24 18:30:00+00:00,1698404191000,1698403498457,CUTOFF,"{""BOFI"":{""endTime"":1698390221947,""startTime"":1698390098801},""BOPI"":{""endTime"":1698390098801,""startTime"":1698389981215},""EOFI"":{""endTime"":1698403498189,""startTime"":1698402792201},""EOPI"":{""endTime"":1698402792201,""startTime"":1698401772029},""ACTIVE"":{""endTime"":1698401772029,""startTime"":1698390221947},""CLOSED"":{""endTime"":1698403498189,""startTime"":1698403498189},""INACTIVE"":{""endTime"":1698389981215,""startTime"":1698389981215}}",
538581085527595287,140793,122,122,122,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-06-28 08:18:07.663576+00:00,2020-04-30 18:30:00+00:00,2020-05-01 18:30:00+00:00,1687941309000,1687940287664,,,
545457502479114329,140793,91,91,91,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-06-14 10:23:07.706415+00:00,2020-03-30 18:30:00+00:00,2020-03-31 18:30:00+00:00,1687936211000,1687774713060,,,
558518292758520523,140793,364,364,364,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:49:01.150203+00:00,2023-06-20 10:58:44.456799+00:00,2020-12-28 18:30:00+00:00,2020-12-29 18:30:00+00:00,1687936211000,1687774713257,,,
560893505775807029,140793,14,14,14,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,,1970-01-01 00:00:00+00:00,2023-04-11 17:08:37.704620+00:00,2020-01-13 18:30:00+00:00,2020-01-14 18:30:00+00:00,1687936211000,1687774713262,,,
575802104160685826,140793,162,162,162,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-15 03:09:35.259179+00:00,2020-06-09 18:30:00+00:00,2020-06-10 18:30:00+00:00,1689391282000,1689390575260,,,
587921831860700796,140793,152,152,152,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:56.047819+00:00,2023-04-27 12:13:26.972096+00:00,2020-05-30 18:30:00+00:00,2020-05-31 18:30:00+00:00,1687936211000,1687774713401,,,
590111465747155888,140793,197,197,197,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-06-06 07:30:56.365399+00:00,2010-07-15 18:30:00+00:00,2010-07-16 18:30:00+00:00,1687936211000,1687774713406,,,
611824228193837036,140793,225,225,225,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:58.352382+00:00,2023-05-21 06:01:53.941311+00:00,2020-08-11 18:30:00+00:00,2020-08-12 18:30:00+00:00,1687936211000,1687774713657,,,
615385476526103412,140793,404,404,404,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:49:01.675925+00:00,2023-07-03 13:44:06.915909+00:00,2021-02-06 18:30:00+00:00,2021-02-07 18:30:00+00:00,1688392798000,1688391846916,,,
630546718177911126,140793,52,52,52,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-03-27 10:41:46.557510+00:00,2010-02-20 18:30:00+00:00,2010-02-21 18:30:00+00:00,1687936211000,1687774713868,,,
635174616350641835,140793,65,65,65,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-03-29 11:37:40.428253+00:00,2010-03-05 18:30:00+00:00,2010-03-06 18:30:00+00:00,1687936211000,1687774713937,,,
705801522369052200,140793,131,131,131,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-04-20 20:30:53.999145+00:00,2010-05-10 18:30:00+00:00,2010-05-11 18:30:00+00:00,1687936211000,1687774714860,,,
726228872392528757,140793,185,185,185,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-20 17:19:34.858912+00:00,2020-07-02 18:30:00+00:00,2020-07-03 18:30:00+00:00,1698242135000,1697822374859,CUTOFF,"{""BOFI"":{""endTime"":1697821313782,""startTime"":1697821189838},""BOPI"":{""endTime"":1697821189838,""startTime"":1697821083411},""EOFI"":{""endTime"":1697822374600,""startTime"":1697821546742},""EOPI"":{""endTime"":1697821546742,""startTime"":1697821356628},""ACTIVE"":{""endTime"":1697821356628,""startTime"":1697821313782},""CLOSED"":{""endTime"":1697822374600,""startTime"":1697822374600},""INACTIVE"":{""endTime"":1697821083411,""startTime"":1697821083411}}",
727855704749505078,140793,206,206,206,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-07-04 05:32:43.042746+00:00,2010-07-24 18:30:00+00:00,2010-07-25 18:30:00+00:00,1688494678000,1688448763046,,,
753368900862335992,140793,66,66,66,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:51.372634+00:00,2023-01-30 12:59:59.848945+00:00,2020-03-05 18:30:00+00:00,2020-03-06 18:30:00+00:00,1687936211000,1687774715171,,,
764385970088740270,140793,126,126,126,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-05-30 19:43:32.468134+00:00,2010-05-05 18:30:00+00:00,2010-05-06 18:30:00+00:00,1687936211000,1687774715351,,,
776342739175397672,140793,81,81,81,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-05-31 08:09:49.137953+00:00,2020-03-20 18:30:00+00:00,2020-03-21 18:30:00+00:00,1687936211000,1687774715374,,,
806341953319845691,140793,225,225,225,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-11-14 04:24:52.649024+00:00,2020-08-11 18:30:00+00:00,2020-08-12 18:30:00+00:00,1699936284000,1699935892649,CUTOFF,"{""BOFI"":{""endTime"":1699935103854,""startTime"":1699934951891},""BOPI"":{""endTime"":1699934951891,""startTime"":1699934769560},""EOFI"":{""endTime"":1699935892436,""startTime"":1699935590055},""EOPI"":{""endTime"":1699935590055,""startTime"":1699935136920},""ACTIVE"":{""endTime"":1699935136920,""startTime"":1699935103854},""CLOSED"":{""endTime"":1699935892436,""startTime"":1699935892436},""INACTIVE"":{""endTime"":1699934769560,""startTime"":1699934769560}}",
867806302098484074,140793,41,41,41,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-01-30 12:59:59.848945+00:00,2010-02-09 18:30:00+00:00,2010-02-10 18:30:00+00:00,1687936211000,1687774716142,,,
872905718164825092,140793,144,144,144,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-04-23 13:42:45.492457+00:00,2010-05-23 18:30:00+00:00,2010-05-24 18:30:00+00:00,1687936211000,1687774716155,,,
873547721784358403,140793,201,201,201,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-25 12:54:24.290638+00:00,2020-07-18 18:30:00+00:00,2020-07-19 18:30:00+00:00,1698242135000,1698238464291,CUTOFF,"{""BOFI"":{""endTime"":1698237719165,""startTime"":1698237573687},""BOPI"":{""endTime"":1698237573687,""startTime"":1698237418913},""EOFI"":{""endTime"":1698238463432,""startTime"":1698238269293},""EOPI"":{""endTime"":1698238269293,""startTime"":1698237963480},""ACTIVE"":{""endTime"":1698237963480,""startTime"":1698237719165},""CLOSED"":{""endTime"":1698238463432,""startTime"":1698238463432},""INACTIVE"":{""endTime"":1698237418913,""startTime"":1698237418913}}",
909468128411506426,140793,133,133,133,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-06-05 13:06:17.251388+00:00,2010-05-12 18:30:00+00:00,2010-05-13 18:30:00+00:00,1687936211000,1687774716466,,,
925866031024180011,140793,12,12,12,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,,1970-01-01 00:00:00+00:00,2023-04-11 16:03:52.598691+00:00,2020-01-11 18:30:00+00:00,2020-01-12 18:30:00+00:00,1687936211000,1687774716664,,,
935413898341247221,140793,79,79,79,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,,1970-01-01 00:00:00+00:00,2023-05-18 07:19:49.619159+00:00,2020-03-18 18:30:00+00:00,2020-03-19 18:30:00+00:00,1687936211000,1687774716862,,,
957940162266105577,140793,246,246,246,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-10-11 08:38:11.139615+00:00,2010-09-02 18:30:00+00:00,2010-09-03 18:30:00+00:00,1697014031000,1697013491140,CUTOFF,,
989759724320825213,140793,62,62,62,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-03-08 07:53:50.391583+00:00,2010-03-02 18:30:00+00:00,2010-03-03 18:30:00+00:00,1687936211000,1687774717356,,,
993623535297829934,140793,46,46,46,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-02-03 05:09:44.796525+00:00,2010-02-14 18:30:00+00:00,2010-02-15 18:30:00+00:00,1687936211000,1687774717367,,,
1000606791408958044,140793,222,222,222,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-09-05 10:56:21.212516+00:00,2010-08-09 18:30:00+00:00,2010-08-10 18:30:00+00:00,1693912049000,1693911381213,CUTOFF,,
1009696423927663782,140793,189,189,189,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:57.244536+00:00,2023-05-12 07:47:08.529467+00:00,2020-07-06 18:30:00+00:00,2020-07-07 18:30:00+00:00,1687936211000,1687774717522,,,
9887922750769198,140793,346,346,346,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:49:00.939816+00:00,2023-06-19 16:17:30.745393+00:00,2020-12-10 18:30:00+00:00,2020-12-11 18:30:00+00:00,1687936211000,1687774708509,,,
41660463953800695,140793,201,201,201,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-07-03 10:34:57.693315+00:00,2010-07-19 18:30:00+00:00,2010-07-20 18:30:00+00:00,1688382193000,1688380497694,,,
112689774720273964,140793,197,197,197,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-25 06:32:46.212251+00:00,2020-07-14 18:30:00+00:00,2020-07-15 18:30:00+00:00,1698242135000,1698215566213,CUTOFF,"{""BOFI"":{""endTime"":1698057999686,""startTime"":1698057855150},""BOPI"":{""endTime"":1698057855150,""startTime"":1698057647332},""EOFI"":{""endTime"":1698215565839,""startTime"":1698215012455},""EOPI"":{""endTime"":1698215012455,""startTime"":1698214548793},""ACTIVE"":{""endTime"":1698214548793,""startTime"":1698057999686},""CLOSED"":{""endTime"":1698215565839,""startTime"":1698215565839},""INACTIVE"":{""endTime"":1698057647332,""startTime"":1698057647332}}",
116205478449352846,140793,210,210,210,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-27 14:12:48.057952+00:00,2020-07-27 18:30:00+00:00,2020-07-28 18:30:00+00:00,1698416501000,1698415968058,CUTOFF,"{""BOFI"":{""endTime"":1698412517731,""startTime"":1698412431110},""BOPI"":{""endTime"":1698412431110,""startTime"":1698412340693},""EOFI"":{""endTime"":1698415967786,""startTime"":1698415535238},""EOPI"":{""endTime"":1698415535238,""startTime"":1698415033278},""ACTIVE"":{""endTime"":1698415033278,""startTime"":1698412517731},""CLOSED"":{""endTime"":1698415967786,""startTime"":1698415967786},""INACTIVE"":{""endTime"":1698412340693,""startTime"":1698412340692}}",
123772816374860049,140793,32,32,32,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:49.248060+00:00,2023-01-30 12:59:59.848945+00:00,2020-01-31 18:30:00+00:00,2020-02-01 18:30:00+00:00,1687936211000,1687774709477,,,
127785307307206995,140793,227,227,227,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,"""null""",1970-01-01 00:00:00+00:00,2023-08-23 06:21:33.971378+00:00,2010-08-14 18:30:00+00:00,2010-08-15 18:30:00+00:00,1692771975000,1692771693972,,,
168471088641821544,140793,125,125,125,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-08-14 08:15:28.487571+00:00,2020-05-03 18:30:00+00:00,2020-05-04 18:30:00+00:00,1692343070000,1692000928489,,,
172551322129300134,140793,24,24,24,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:48.143502+00:00,2023-01-30 12:59:59.848945+00:00,2020-01-23 18:30:00+00:00,2020-01-24 18:30:00+00:00,1687936211000,1687774709851,,,
176260837049694999,140793,258,258,258,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-10-17 19:04:54.433304+00:00,2010-09-14 18:30:00+00:00,2010-09-15 18:30:00+00:00,1698242135000,1697569494434,CUTOFF,,
179529076069522018,140793,58,58,58,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-03-06 12:50:05.631955+00:00,2010-02-26 18:30:00+00:00,2010-02-27 18:30:00+00:00,1687936211000,1687774709866,,,
242779353139502829,140793,147,147,147,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:55.993901+00:00,2023-04-26 14:41:16.538666+00:00,2020-05-25 18:30:00+00:00,2020-05-26 18:30:00+00:00,1687936211000,1687774710298,,,
281214295777034391,600309,13,13,13,CLOSED,2215037967898677601,6364158519749456664,4859574584421702256,"""null""",1970-01-01 00:00:00+00:00,2023-09-21 11:29:10.819952+00:00,2023-01-13 08:00:00+00:00,2023-01-14 08:00:00+00:00,1695296013000,1695295750821,CUTOFF,,
288971773847389082,140793,55,55,55,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-05-19 11:52:20.631522+00:00,2020-02-23 18:30:00+00:00,2020-02-24 18:30:00+00:00,1687936211000,1687774710655,,,
342560948596049881,140793,83,83,83,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-04-12 16:36:50.104137+00:00,2010-03-23 18:30:00+00:00,2010-03-24 18:30:00+00:00,1687936211000,1687774711049,,,
356317575866136893,140793,137,137,137,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-06-06 12:29:29.440497+00:00,2010-05-16 18:30:00+00:00,2010-05-17 18:30:00+00:00,1687936211000,1687774711080,,,
360612636535377308,140793,14,14,14,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-04-12 11:15:12.759349+00:00,2020-01-13 18:30:00+00:00,2020-01-14 18:30:00+00:00,1687936211000,1687774711169,,,
365363914852352979,140793,30,30,30,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:48.869035+00:00,2023-01-30 12:59:59.848945+00:00,2020-01-29 18:30:00+00:00,2020-01-30 18:30:00+00:00,1687936211000,1687774711265,,,
387730888939708525,140793,27,27,27,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-04-13 12:46:57.340094+00:00,2020-01-26 18:30:00+00:00,2020-01-27 18:30:00+00:00,1687936211000,1687774711513,,,
419402938489801242,140793,276,276,276,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-11-03 14:04:04.874587+00:00,2010-10-02 18:30:00+00:00,2010-10-03 18:30:00+00:00,1699020561000,1699020244875,CUTOFF,"{""BOFI"":{""endTime"":1698873683044,""startTime"":1698873504077},""BOPI"":{""endTime"":1698873504077,""startTime"":1698873333991},""EOFI"":{""endTime"":1699020244659,""startTime"":1699019663885},""EOPI"":{""endTime"":1699019663885,""startTime"":1698977622712},""ACTIVE"":{""endTime"":1698977622712,""startTime"":1698873683044},""CLOSED"":{""endTime"":1699020244659,""startTime"":1699020244659},""INACTIVE"":{""endTime"":1698873333991,""startTime"":1698873333991}}",
430881282624513524,140793,102,102,102,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:53.669862+00:00,2023-01-30 12:59:59.848945+00:00,2020-04-10 18:30:00+00:00,2020-04-11 18:30:00+00:00,1687936211000,1687774712057,,,
460937440826534189,140793,99,99,99,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-04-04 05:17:39.207341+00:00,2010-04-08 18:30:00+00:00,2010-04-09 18:30:00+00:00,1687936211000,1687774712359,,,
495603722922850701,140793,5,5,5,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:45.650765+00:00,2023-01-30 12:59:59.848945+00:00,2020-01-04 18:30:00+00:00,2020-01-05 18:30:00+00:00,1687936211000,1687774712664,,,
547761550674317206,140793,326,326,326,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:49:00.654510+00:00,2023-06-18 23:13:33.764913+00:00,2020-11-20 18:30:00+00:00,2020-11-21 18:30:00+00:00,1687936211000,1687774713064,,,
549807426413421886,140793,228,228,228,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,"""null""",1970-01-01 00:00:00+00:00,2023-08-23 06:52:11.292945+00:00,2010-08-15 18:30:00+00:00,2010-08-16 18:30:00+00:00,1692773895000,1692773531294,,,
590761119231941340,140793,177,177,177,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-21 13:03:24.655434+00:00,2020-06-24 18:30:00+00:00,2020-06-25 18:30:00+00:00,1689945263000,1689944604656,,,
610199379249892031,600309,3,3,3,CLOSED,2215037967898677601,6364158519749456664,4859574584421702256,"""null""",1970-01-01 00:00:00+00:00,2023-09-21 09:37:41.556242+00:00,2023-01-03 08:00:00+00:00,2023-01-04 08:00:00+00:00,1695289286000,1695289061557,CUTOFF,,
615323567428860922,140793,85,85,85,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:52.552709+00:00,2023-01-30 12:59:59.848945+00:00,2020-03-24 18:30:00+00:00,2020-03-25 18:30:00+00:00,1687936211000,1687774713749,,,
620308279051722820,140793,178,178,178,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,"""null""",1970-01-01 00:00:00+00:00,2023-08-09 18:34:55.245183+00:00,2010-06-26 18:30:00+00:00,2010-06-27 18:30:00+00:00,1691606390000,1691606095283,,,
620833996772360913,140793,187,187,187,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,"""null""",1970-01-01 00:00:00+00:00,2023-10-21 09:51:23.167888+00:00,2020-07-04 18:30:00+00:00,2020-07-05 18:30:00+00:00,1698242135000,1697881883168,CUTOFF,"{""BOFI"":{""endTime"":1697823745015,""startTime"":1697823653199},""BOPI"":{""endTime"":1697823653199,""startTime"":1697823529804},""EOFI"":{""endTime"":1697881882960,""startTime"":1697881618158},""EOPI"":{""endTime"":1697881618158,""startTime"":1697881276335},""ACTIVE"":{""endTime"":1697881276335,""startTime"":1697823745015},""CLOSED"":{""endTime"":1697881882960,""startTime"":1697881882960},""INACTIVE"":{""endTime"":1697823529804,""startTime"":1697823529803}}",
632853044294185931,140793,155,155,155,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-14 19:48:44.788196+00:00,2020-06-02 18:30:00+00:00,2020-06-03 18:30:00+00:00,1689364655000,1689364124789,,,
658407033891819990,140793,133,133,133,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:54.973157+00:00,2023-04-04 04:50:34.250625+00:00,2020-05-11 18:30:00+00:00,2020-05-12 18:30:00+00:00,1687936211000,1687774714286,,,
660679949224386251,140793,59,59,59,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,,1970-01-01 00:00:00+00:00,2023-05-05 10:04:46.257799+00:00,2020-02-27 18:30:00+00:00,2020-02-28 18:30:00+00:00,1687936211000,1687774714290,,,
667121764465781389,140793,281,281,281,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:59.573896+00:00,2023-05-31 08:00:34.332594+00:00,2020-10-06 18:30:00+00:00,2020-10-07 18:30:00+00:00,1687936211000,1687774714349,,,
695578880854303677,140793,127,127,127,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-06-30 19:18:54.814055+00:00,2020-05-05 18:30:00+00:00,2020-05-06 18:30:00+00:00,1688377180000,1688152734816,,,
790852558021070526,140793,23,23,23,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-04-13 10:35:15.490550+00:00,2020-01-22 18:30:00+00:00,2020-01-23 18:30:00+00:00,1687936211000,1687774715541,,,
800659272544306663,140793,17,17,17,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-01-30 12:59:59.848945+00:00,2010-01-16 18:30:00+00:00,2010-01-17 18:30:00+00:00,1687936211000,1687774715562,,,
836700554467559998,140793,72,72,72,CLOSED,7940591464295992807,689510316990393175,3268689688417108647,,1970-01-01 00:00:00+00:00,2023-05-11 11:42:59.672350+00:00,2020-03-11 18:30:00+00:00,2020-03-12 18:30:00+00:00,1687936211000,1687774715878,,,
845329643133719249,140793,142,142,142,CLOSED,7463254804300335660,897846268663106726,4538061086482575544,,1970-01-01 00:00:00+00:00,2023-04-23 12:43:27.976141+00:00,2010-05-21 18:30:00+00:00,2010-05-22 18:30:00+00:00,1687936211000,1687774715896,,,
1002112993846554246,140793,282,282,282,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:59.576187+00:00,2023-06-04 05:52:17.699652+00:00,2020-10-07 18:30:00+00:00,2020-10-08 18:30:00+00:00,1687936211000,1687774717506,,,
1022013640321334277,140793,90,90,90,CLOSED,5379327319334137665,7158459355840076639,758182417509032721,,1970-01-01 00:00:00+00:00,2023-05-03 02:26:55.550737+00:00,2010-03-30 18:30:00+00:00,2010-03-31 18:30:00+00:00,1687936211000,1687774717680,,,
1120033750604304639,140793,94,94,94,CLOSED,3420597880821416136,7521749755515399948,4199102871259222691,,2022-08-18 10:48:53.256297+00:00,2023-01-30 12:59:59.848945+00:00,2020-04-02 18:30:00+00:00,2020-04-03 18:30:00+00:00,1687936211000,1687774718401,,,
1133431266719173189,140793,147,147,147,CLOSED,4601032047770235408,2798463839934780145,3945303092666725431,,1970-01-01 00:00:00+00:00,2023-07-14 14:29:40.387706+00:00,2020-05-25 18:30:00+00:00,2020-05-26 18:30:00+00:00,1689345406000,1689344980388,,,
