id,ifi_id,name,coa_id,coa_node_id,created_at,modified_at,accounting_type,type,code,parent_coa_node_id,state,aura_account_group_id,description,provider_id,_load_ts_ms,cdc_source_ts_ms,attributes,cdc_op
4834523887378191606,233862,GIFT_PF_DcfoYPu,7266887274957374659,689235052122230718,2022-01-26 03:07:46.467000,2022-01-26 03:07:46.467000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,976410591573796893,,,1681124273000,,{},
6825614383205420877,233862,GIFT_PF_TMOeRfy,7266887274957374659,4225236212329764603,2022-01-26 05:30:14.884000,2022-01-26 05:30:14.884000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,3219906887124591671,,,1681124273000,,{},
3363511777745572781,233862,GIFT_PF_BPbsdnO,7266887274957374659,5909127073182538292,2022-01-26 06:15:14.730000,2022-01-26 06:15:14.730000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,9124293473851253383,,,1681124273000,,{},
224340593427489809,233862,GIFT_PF_HrRmKd8,7266887274957374659,2282235431323329594,2022-01-26 11:14:43.824000,2022-01-26 11:14:43.824000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,4584631023750529279,,,1681124273000,,{},
208066577783537159,233862,GIFT_PF_9QJ77at,7266887274957374659,1186576150894581929,2022-01-26 11:53:34.668000,2022-01-26 11:53:34.668000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,42037295152259929,,,1681124273000,,{},
68624949612739136,233862,GIFT_PF_3n22cTy,7266887274957374659,7371798436541117509,2022-01-26 13:08:05.993000,2022-01-26 13:08:05.993000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,4849927454612986289,,,1681124273000,,{},
1201134533308783142,233862,GIFT_PF_8BcQeZH,7266887274957374659,6022998238835460740,2022-01-26 13:08:06.199000,2022-01-26 13:08:06.199000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,6853977526751053090,,,1681124273000,,{},
5486632967904474372,233862,GIFT_PF_ujh3ZdN,7266887274957374659,9118184997001265199,2022-01-26 14:28:19.124000,2022-01-26 14:28:19.124000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,615366674392671682,,,1681124273000,,{},
2634525906061144049,140793,HDFCLoanproductfamily_1643216288796,5217363059012312379,6820959508175357641,2022-01-26 16:58:08.979000,2022-01-26 16:58:08.979000,ASSET,ACCOUNT_BASED,HDFCLoanproductfamily_JOBRUN019_1643216288796,7181914634825075450,ENABLED,8213530271525388404,ProductFamilyDesc,,1681124273000,,,
1914655943715490328,140793,HDFCLoanproductfamily_1643216813296,6597705557272930374,7709076534217594328,2022-01-26 17:06:53.619000,2022-01-26 17:06:53.619000,ASSET,ACCOUNT_BASED,HDFCLoanproductfamily_JOBRUN020_1643216813296,515461359341497748,ENABLED,3777745388145574563,ProductFamilyDesc,,1681124273000,,,
5733091196339991300,233862,GIFT_PF_rCYp2Nn,7266887274957374659,3955051511175334461,2022-01-26 17:07:35.321000,2022-01-26 17:07:35.321000,LIABILITY,ACCOUNT_BASED,GIFT,5614028186766104270,ENABLED,195232131300457532,,,1681124273000,,{},
287834369407621781,140793,HDFC Credit Product Family,4038615873857901983,5767053591869944181,2022-01-26 17:24:42.700000,2022-01-26 17:24:42.700000,ASSET,ACCOUNT_BASED,HDFCCreditProductFamily_JOBRUN023,8952944834011096109,ENABLED,9031502803420396538,ProductFamilyDesc,,1681124273000,,,
7069637428998005771,140793,HDFCLoanproductfamily_1643219209741,6521105074896334791,8289637663341712160,2022-01-26 17:46:49.961000,2022-01-26 17:46:49.961000,ASSET,ACCOUNT_BASED,HDFCLoanproductfamily_JOBRUN024_1643219209741,5155100334924047698,ENABLED,7560071737539913940,ProductFamilyDesc,,1681124273000,,,
9153024581035127972,190015,COUNTER_SPAIN,6636133636007324276,7349506881621822414,2022-01-26 18:48:50.995000,2022-01-30 18:14:35.406000,LIABILITY,ACCOUNT_BASED,DEFAULT_LIABILITIES,4935019605395691347,ENABLED,6066546658033153088,,,1681124273000,,,
