tenantid,id,paymentaccountproductid,status,createdat,modifiedat,providedaccountschemauri,rowid,_load_ts_ms,cdc_source_ts_ms,attributes,providedaccount,cdc_op
140793,f50dae88-da57-495f-b706-1a9da8979f2a,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 08:50:39.630842+00:00,2022-03-16 08:50:39.630842+00:00,schema://subjects/id-data-schema/versions/1,83288,1679404482000,,{},"{""id"":""4669973569648140503"",""data"":{""coaID"":""1670706735183594041""}}",
140793,d5f2774f-21cb-4c69-8514-d5c3cf189bbe,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 08:57:47.279080+00:00,2022-03-16 08:57:47.279080+00:00,schema://subjects/id-data-schema/versions/1,33575,1679404482000,,{},"{""id"":""9157451625664328052"",""data"":{""coaID"":""1670706735183594041""}}",
140793,99ac87dd-b59d-4cba-9620-b2ab3c8d5ffc,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 09:18:28.195579+00:00,2022-03-16 09:18:28.195579+00:00,schema://subjects/id-data-schema/versions/1,78566,1679404482000,,{},"{""id"":""6307372661649649151"",""data"":{""coaID"":""1670706735183594041""}}",
140793,2bcb32a5-cfbb-4fa9-8db3-335f3284311b,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 09:39:34.589392+00:00,2022-03-16 09:39:34.589392+00:00,schema://subjects/id-data-schema/versions/1,83351,1679404482000,,{},"{""id"":""3456520152690139326"",""data"":{""coaID"":""1670706735183594041""}}",
140793,67a12107-9760-4d52-ace4-8929d110ffce,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 09:44:08.883664+00:00,2022-03-16 09:44:08.883664+00:00,schema://subjects/id-data-schema/versions/1,83374,1679404482000,,{},"{""id"":""7807002759620651604"",""data"":{""coaID"":""1670706735183594041""}}",
140793,b234395c-4490-46e7-a0f4-c6b840163322,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 09:48:32.864205+00:00,2022-03-16 09:48:32.864205+00:00,schema://subjects/id-data-schema/versions/1,78756,1679404482000,,{},"{""id"":""3001551187995736425"",""data"":{""coaID"":""1670706735183594041""}}",
140793,0759afd1-a681-4e31-8d0d-ddeac96ba642,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 11:32:01.080298+00:00,2022-03-16 11:32:01.080298+00:00,schema://subjects/id-data-schema/versions/1,83396,1679404482000,,{},"{""id"":""117790492048195816"",""data"":{""coaID"":""1670706735183594041""}}",
140793,f9486c7a-b0af-4df1-bdcc-c1c9866bbda9,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-16 12:30:59.542591+00:00,2022-03-16 12:30:59.542591+00:00,schema://subjects/id-data-schema/versions/1,83381,1679404482000,,{},"{""id"":""4511173479198817098"",""data"":{""coaID"":""1670706735183594041""}}",
140793,ce7f3ae9-6464-43e7-bde6-46ad9666b22c,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-17 05:32:03.635930+00:00,2022-03-17 05:32:03.635930+00:00,schema://subjects/id-data-schema/versions/1,83569,1679404482000,,{},"{""id"":""2745682891285999488"",""data"":{""coaID"":""1670706735183594041""}}",
140793,4ab9a2c2-9db8-4527-9669-9f0c49ea0246,44e61e48-0bc3-4f50-997c-816848be43fa,ACTIVE,2022-03-17 05:45:27.568084+00:00,2022-03-17 05:45:27.568084+00:00,schema://subjects/id-data-schema/versions/1,83553,1679404482000,,{},"{""id"":""8641243329864970433"",""data"":{""coaID"":""1670706735183594041""}}",
